kepid,koi_period,koi_disposition
8630788,36.33750453,"CONFIRMED"
8630788,14.64613058,"CONFIRMED"
8630788,148.272013,"CONFIRMED"
4164994,10.50682978,"CONFIRMED"
6766634,321.2124365,"CONFIRMED"
7211469,11.29689442,"CONFIRMED"
7831264,5.968724048,"CONFIRMED"
7532973,2.144632238,"CONFIRMED"
8678594,133.460999,"CONFIRMED"
10925104,5.188563677,"CONFIRMED"
8678594,15.19423359,"CONFIRMED"
4076098,3.990105908,"CONFIRMED"
4282872,10.035381809,"CONFIRMED"
7211221,5.62154315,"CONFIRMED"
11356260,8.50698069,"CONFIRMED"
11600889,0.669310092,"CONFIRMED"
11043167,44.9306706,"CONFIRMED"
8612847,14.13175309,"CONFIRMED"
8547140,11.41926141,"CONFIRMED"
4072526,33.1996355,"CONFIRMED"
4455231,19.30581662,"CONFIRMED"
9527915,13.22175358,"CONFIRMED"
11336883,7.16893064,"CONFIRMED"
8564587,5.729317577,"CONFIRMED"
10925104,11.776132317,"CONFIRMED"
8564587,11.60908533,"CONFIRMED"
8806072,40.05881661,"CONFIRMED"
4455231,6.09747233,"CONFIRMED"
4455231,56.637918,"CONFIRMED"
8972058,8.99088621,"CONFIRMED"
7832356,7.886632468,"CONFIRMED"
9643874,8.027681123,"CONFIRMED"
8800954,704.962626,"CONFIRMED"
8583696,50.28635977,"CONFIRMED"
8804283,22.79020351,"CONFIRMED"
8804283,13.26079792,"CONFIRMED"
4155328,127.8334997,"CONFIRMED"
4077526,10.21864532,"CONFIRMED"
4077526,15.573637,"CONFIRMED"
4077526,40.1015561,"CONFIRMED"
4077526,4.45814897,"CONFIRMED"
8935810,6.230335,"CONFIRMED"
2441495,12.49340725,"CONFIRMED"
9455556,6.62643441,"CONFIRMED"
9455556,3.70122061,"CONFIRMED"
3732821,13.73474071,"CONFIRMED"
3962357,14.55387488,"CONFIRMED"
8394721,81.0637895,"CONFIRMED"
8609450,24.8056775,"CONFIRMED"
6541920,13.02493307,"CONFIRMED"
8609450,44.3471936,"CONFIRMED"
8609450,9.2207691,"CONFIRMED"
8609450,13.6396648,"CONFIRMED"
4243911,1.922799706,"CONFIRMED"
4466677,3.222975318,"CONFIRMED"
4135665,4.16811839,"CONFIRMED"
9269281,5.82348911,"CONFIRMED"
9034103,7.13969705,"CONFIRMED"
9214942,18.75470238,"CONFIRMED"
3749134,11.30123036,"CONFIRMED"
3660924,4.24153629,"CONFIRMED"
3939150,17.32419108,"CONFIRMED"
8628758,14.37457572,"CONFIRMED"
8628758,9.65188331,"CONFIRMED"
8742590,49.4781446,"CONFIRMED"
8822366,30.8639476,"CONFIRMED"
8972058,2.403640701,"CONFIRMED"
4650674,4.51436096,"CONFIRMED"
4275721,3.77359871,"CONFIRMED"
4275721,8.18182189,"CONFIRMED"
8874090,13.32389352,"CONFIRMED"
11666881,4.919584997,"CONFIRMED"
9264949,11.41911886,"CONFIRMED"
9271752,11.36113254,"CONFIRMED"
9150827,14.53410833,"CONFIRMED"
3939150,33.0063185,"CONFIRMED"
3839488,11.13127159,"CONFIRMED"
3442055,29.6193891,"CONFIRMED"
12252424,8.925079516,"CONFIRMED"
8700771,8.0922105,"CONFIRMED"
6541920,22.687155,"CONFIRMED"
4136466,4.48758768,"CONFIRMED"
9391208,16.56062577,"CONFIRMED"
9391506,15.74958583,"CONFIRMED"
8950853,37.8145252,"CONFIRMED"
9006449,12.64504291,"CONFIRMED"
9006449,21.5262958,"CONFIRMED"
9006449,33.8845825,"CONFIRMED"
4043190,6.40087137,"CONFIRMED"
3640905,30.1599411,"CONFIRMED"
3640905,51.0771048,"CONFIRMED"
10790387,117.93110803,"CONFIRMED"
7303287,125.86540191,"CONFIRMED"
7303287,34.5439452,"CONFIRMED"
11512246,10.74241765,"CONFIRMED"
11517719,2.495780169,"CONFIRMED"
12252424,4.75400072,"CONFIRMED"
10874614,3.234699282,"CONFIRMED"
6541920,31.99552485,"CONFIRMED"
7211141,51.92920654,"CONFIRMED"
7376983,5.644914154,"CONFIRMED"
5084942,3.105507835,"CONFIRMED"
11497958,5.841636615,"CONFIRMED"
11497958,19.85029495,"CONFIRMED"
11512246,15.27443889,"CONFIRMED"
10604335,11.00817635,"CONFIRMED"
10604335,92.7495777,"CONFIRMED"
10864656,52.5008645,"CONFIRMED"
10975146,0.63133171,"CONFIRMED"
10538176,12.69905011,"CONFIRMED"
7376983,8.74292005,"CONFIRMED"
7376983,3.64830183,"CONFIRMED"
7376983,2.345863002,"CONFIRMED"
6946199,37.1011418,"CONFIRMED"
11497958,10.8644095,"CONFIRMED"
11177707,124.4197175,"CONFIRMED"
11611600,1.219568047,"CONFIRMED"
11254382,2.05388477,"CONFIRMED"
11122894,38.86848956,"CONFIRMED"
6677841,35.7353616,"CONFIRMED"
6677841,12.30971679,"CONFIRMED"
6677841,54.4205407,"CONFIRMED"
6383821,27.07237655,"CONFIRMED"
10538176,37.5142128,"CONFIRMED"
10724369,55.6391882,"CONFIRMED"
6541920,46.6856205,"CONFIRMED"
10744335,4.59726613,"CONFIRMED"
4860678,9.97716876,"CONFIRMED"
5177104,3.02168007,"CONFIRMED"
8230616,2.240486703,"CONFIRMED"
9836959,105.0145774,"CONFIRMED"
9838949,4.88084456,"CONFIRMED"
9895006,10.56137217,"CONFIRMED"
9896558,67.6690554,"CONFIRMED"
9589323,3.949627144,"CONFIRMED"
9823487,16.00460392,"CONFIRMED"
9726659,3.148661555,"CONFIRMED"
5371776,3.295701024,"CONFIRMED"
5371776,9.65349016,"CONFIRMED"
5371776,5.315954488,"CONFIRMED"
9573539,10.04556377,"CONFIRMED"
5371776,1.499144441,"CONFIRMED"
9886661,5.082748362,"CONFIRMED"
10055126,9.17617167,"CONFIRMED"
10055126,19.7383992,"CONFIRMED"
5009743,41.6980186,"CONFIRMED"
10015937,59.6585348,"CONFIRMED"
10019065,52.6298542,"CONFIRMED"
7950644,10.290994129,"CONFIRMED"
10080248,14.8783945,"CONFIRMED"
10213902,59.6222627,"CONFIRMED"
11821363,8.19596647,"CONFIRMED"
7629518,15.59466045,"CONFIRMED"
10810838,56.35407916,"CONFIRMED"
10963065,2.465024332,"CONFIRMED"
6268648,15.86624787,"CONFIRMED"
5357901,3.797018259,"CONFIRMED"
4278221,1.340596782,"CONFIRMED"
10214162,17.42393582,"CONFIRMED"
10905746,9.8786461,"CONFIRMED"
8242434,44.96407458,"CONFIRMED"
6185331,49.7700907,"CONFIRMED"
9636135,5.83376197,"CONFIRMED"
9636135,2.42150341,"CONFIRMED"
7841925,14.16400071,"CONFIRMED"
7841925,6.20920207,"CONFIRMED"
5219234,5.48711441,"CONFIRMED"
5219234,8.29084167,"CONFIRMED"
5219234,3.20539622,"CONFIRMED"
5219234,16.73869035,"CONFIRMED"
9015738,13.93291548,"CONFIRMED"
7215603,2.36436762,"CONFIRMED"
5561278,20.31047472,"CONFIRMED"
6387542,2.53475568,"CONFIRMED"
6869184,43.3167427,"CONFIRMED"
6604328,31.0033072,"CONFIRMED"
7439316,2.617028373,"CONFIRMED"
12400538,150.2412582,"CONFIRMED"
5184584,53.44944498,"CONFIRMED"
5438099,7.24022418,"CONFIRMED"
5438099,4.64622383,"CONFIRMED"
6543893,10.29674097,"CONFIRMED"
6543893,5.93919041,"CONFIRMED"
6975129,19.74733983,"CONFIRMED"
11391018,30.360445359,"CONFIRMED"
8685497,4.4096675,"CONFIRMED"
4365645,4.16787814,"CONFIRMED"
8197343,11.79161234,"CONFIRMED"
6786348,26.964501,"CONFIRMED"
6209677,7.76845639,"CONFIRMED"
9813499,5.03257009,"CONFIRMED"
12254792,40.4286676,"CONFIRMED"
12020218,21.3588236,"CONFIRMED"
7690844,22.0459163,"CONFIRMED"
5438099,17.32670445,"CONFIRMED"
5438099,44.8411168,"CONFIRMED"
8009350,13.75207851,"CONFIRMED"
8082001,6.33855946,"CONFIRMED"
9277896,4.59489816,"CONFIRMED"
9401997,32.2964275,"CONFIRMED"
10686864,2.97041801,"CONFIRMED"
9631995,7.891448838,"CONFIRMED"
7901948,2.578852119,"CONFIRMED"
6442377,30.22910274,"CONFIRMED"
10004519,9.80321143,"CONFIRMED"
5031857,24.81097206,"CONFIRMED"
10879038,4.8538404,"CONFIRMED"
10990917,11.04605365,"CONFIRMED"
11046025,3.72020708,"CONFIRMED"
9729691,8.689301216,"CONFIRMED"
9729691,20.99757968,"CONFIRMED"
10904857,3.120828136,"CONFIRMED"
8651389,15.13590453,"CONFIRMED"
7871954,1.937029968,"CONFIRMED"
7871954,7.06117322,"CONFIRMED"
12418724,20.55331441,"CONFIRMED"
7456001,40.0686713,"CONFIRMED"
10028792,114.73658,"CONFIRMED"
10028792,191.239133,"CONFIRMED"
5299459,10.41572666,"CONFIRMED"
11153121,14.97031664,"CONFIRMED"
11153121,32.2753853,"CONFIRMED"
11177543,38.3262237,"CONFIRMED"
11337141,4.04355245,"CONFIRMED"
3967760,5.52418625,"CONFIRMED"
3967760,8.77514782,"CONFIRMED"
7549209,27.5071114,"CONFIRMED"
7663405,5.1443645,"CONFIRMED"
9765975,18.45848388,"CONFIRMED"
9818462,25.9421582,"CONFIRMED"
6803202,21.06075303,"CONFIRMED"
5299459,13.08424286,"CONFIRMED"
